ent.frame (Entity ID)	ent.slot (Property)	ent.short_value (Scale reference term ID)	Final Scale Top Class ID
http://who.int/icd#13065_ce88e999_ba9e_41b4_8d8a_b63046b652da	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_203	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#F01	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_206	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#2844_712a6f06_71f2_48d0_919c_2b3cb8b7172d	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_20695	http://who.int/icd#7707_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#A41	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_21	http://who.int/icd#7745_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#19532_fba2e671_3f12_4bbe_b446_34f816e9708a	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_210	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#204_b89758b2_1812_439d_a5c5_2b03dca4dfa3	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_215	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#I37.2	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_217	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#623_a5d1dc5c_3221_4a4d_b73c_ceec9efbd61d	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_21826	http://who.int/icd#7707_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#221_b89758b2_1812_439d_a5c5_2b03dca4dfa3	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_222	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#238_b89758b2_1812_439d_a5c5_2b03dca4dfa3	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_226	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#J45	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_23318	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#6090_dd0250d2_e8cd_4c48_a93f_7997cc1c8b07	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_23322	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#6105_dd0250d2_e8cd_4c48_a93f_7997cc1c8b07	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_23326	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#J45.9	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_23330	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#J45.99	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_23334	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#J45.90	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_23338	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#4920_ce88e999_ba9e_41b4_8d8a_b63046b652da	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_23342	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#J45.990	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_23346	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
